median-dij,sigma,MAD
0.030,1.606,0.866
0.060,1.789,0.632
0.090,1.956,0.481
0.120,2.057,0.430
0.150,2.209,0.363
0.180,2.315,0.323
0.210,2.393,0.302
0.240,2.512,0.277
0.270,2.614,0.259
0.300,2.721,0.243
0.330,2.839,0.228
0.360,2.962,0.217
0.390,3.067,0.206
0.420,3.242,0.196
0.450,3.433,0.185
0.480,3.536,0.182
0.510,3.643,0.177
0.540,3.778,0.173
0.570,3.995,0.168
0.600,4.154,0.166
0.630,4.412,0.162
0.660,4.624,0.161
0.690,4.906,0.160
0.720,5.287,0.158
0.750,5.530,0.158
0.780,6.096,0.159
0.810,6.570,0.161
0.840,7.113,0.163
0.870,8.040,0.166
0.900,9.292,0.173
0.930,11.282,0.180
0.960,14.919,0.192
0.990,30.429,0.229
